settlement_id,settlement_name,ward_code,ward_name,lga_name,security_classification,date_classified
S02368,Zabadu,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02371,Enduyi,W038,Sashasa,Katsuma,Partially accessible,2026-02-24
S02374,Irriwo,W038,Sashasa,Katsuma,Partially accessible,2026-02-24
S02379,Sushatu-Arewa,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02380,Hangowo,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02386,Zakoma,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02390,Nulatu,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02391,Uzbeja,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02393,Umrawo,W038,Sashasa,Katsuma,Partially accessible,2026-02-24
S02398,Hazawa,W038,Sashasa,Katsuma,Partially accessible,2026-02-24
S02403,Agjima-Kudu,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02408,Nurishi,W038,Sashasa,Katsuma,Partially accessible,2026-02-24
S02410,Makofa,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02414,Nuberu-Yamma,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02416,Yedeja,W038,Sashasa,Katsuma,Inaccessible,2026-02-24
S02421,Sawatu,W038,Sashasa,Katsuma,Partially accessible,2026-02-24
